company_id,ticker,metric,value,unit,currency,period_end,fiscal_year,fiscal_period,estimate_kind,analyst_count,source_record_id,template_status
company:US-CIK0000320193,AAPL,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000320193,AAPL,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000320193,AAPL,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000789019,MSFT,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000789019,MSFT,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000789019,MSFT,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001045810,NVDA,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001045810,NVDA,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001045810,NVDA,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001018724,AMZN,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001018724,AMZN,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001018724,AMZN,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001652044,GOOGL,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001652044,GOOGL,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001652044,GOOGL,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001326801,META,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001326801,META,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001326801,META,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001730168,AVGO,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001730168,AVGO,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001730168,AVGO,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001318605,TSLA,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001318605,TSLA,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001318605,TSLA,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001067983,BRK.B,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001067983,BRK.B,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001067983,BRK.B,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000059478,LLY,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000059478,LLY,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000059478,LLY,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000019617,JPM,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
